id,name,protiens,calories,fat,total_carbs,fiber,sugar,net_carbs,portion,unit,created_by,edit_by,created_at,updated_at,glycemic_index
120,coconut meat,3,354,34,15,9,6,6,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:54:26,2023-08-31 12:28:55,54.0
121,hot sauce,0,3,0,1,0,0,0,30,ml,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:54:28,2023-08-29 13:36:43,15.0
122,italian seasoning,0,0,0,0,0,0,0,10,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:54:29,2023-08-30 11:14:42,0.0
123,oregano (dried),1,27,0,7,4,0,3,10,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:54:31,2023-08-31 02:16:14,5.0
124,paprika,1,28,1,5,4,1,2,10,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:54:32,2023-08-30 15:20:00,15.0
125,tamari sauce,1,10,0,1,0,1,1,15,ml,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:54:34,2023-08-29 14:08:34,15.0
126,baking powder,0,0,0,0,0,0,0,100,gm,2b1a30bd-b223-44ca-b56f-f5cf2be87cb2,,2022-04-22 11:54:35,2022-04-22 11:54:35,0.0
127,sesame oil,0,120,14,0,0,0,0,15,ml,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:54:37,2023-08-29 06:26:57,0.0
128,vinegar,0,0,0,0,0,0,0,15,ml,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:54:38,2023-08-29 14:10:02,0.0
129,cinnamon powder,0,25,0,8,5,0,3,10,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:54:40,2023-08-31 10:06:49,5.0
130,rosemary (dried),1,33,2,6,4,0,2,10,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:54:42,2023-09-01 02:54:42,15.0
131,sesame seeds,17,565,48,26,14,0,12,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:54:43,2023-08-30 13:05:06,35.0
133,black coffee,0,1,0,0,0,0,0,30,ml,2b1a30bd-b223-44ca-b56f-f5cf2be87cb2,,2022-04-22 11:54:46,2022-04-22 11:54:46,0.0
134,ground coffee,20,500,20,60,40,10,20,100,gm,2b1a30bd-b223-44ca-b56f-f5cf2be87cb2,,2022-04-22 11:54:48,2022-04-22 11:54:48,0.0
135,fennel seeds,16,345,15,52,40,0,12,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:54:49,2023-08-31 15:55:53,15.0
136,nutmeg (ground),1,53,4,5,2,0,3,10,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:54:51,2023-09-08 09:15:22,0.0
137,cloves,1,27,1,6,3,0,3,10,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:54:52,2023-09-08 09:15:28,5.0
138,ginger powder,0,10,0,0,0,0,0,10,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:54:54,2023-08-30 13:59:14,10.0
139,almond flour,20,567,50,20,13,3,7,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:54:55,2023-08-12 08:28:42,1.0
140,almonds,21,579,50,22,13,4,9,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:54:57,2023-08-12 08:19:51,15.0
141,tahini sauce,8,200,18,5,4,0,1,30,ml,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:54:58,2023-08-30 17:17:33,40.0
142,almond butter,21,614,56,19,10,4,9,100,ml,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:55:00,2023-09-17 12:02:54,15.0
143,stevia,0,48,0,100,100,0,0,100,gm,2b1a30bd-b223-44ca-b56f-f5cf2be87cb2,,2022-04-22 11:55:01,2022-04-22 11:55:01,0.0
144,fennel,1,31,0,7,3,4,4,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:55:03,2023-09-08 09:15:33,15.0
145,thyme (dried),0,8,0,2,0,0,2,10,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:55:04,2023-08-31 02:18:06,45.0
146,sweet potato,2,86,0,20,3,4,17,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:55:06,2023-09-08 09:15:38,70.0
148,walnuts,15,654,65,14,7,3,7,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:55:09,2023-09-08 09:15:43,15.0
150,macadamia nuts,8,718,76,14,9,5,5,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:55:12,2023-09-01 08:14:56,10.0
151,mint (peppermint),0,2,0,0,0,0,0,3,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:55:14,2023-08-31 08:30:46,0.0
152,turmeric (ground),1,31,0,7,2,0,4,10,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:55:15,2023-08-30 13:58:12,0.0
153,beets,2,43,0,10,3,7,7,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:55:17,2023-08-12 20:26:39,64.0
154,pork (ground),19,241,18,0,0,0,0,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:55:18,2023-09-08 09:16:07,0.0
156,pickles,0,11,0,2,1,1,1,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:55:21,2023-08-30 15:23:41,15.0
157,honey,0,91,0,25,0,25,25,30,ml,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:55:23,2023-08-29 13:36:16,58.0
158,chicken liver,17,119,5,1,0,0,1,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:55:24,2023-08-15 08:37:13,0.0
159,parsnip,1,75,0,18,5,5,13,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:55:26,2023-09-08 09:16:13,85.0
160,squash (spaghetti),1,31,1,7,2,3,5,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:55:27,2023-08-15 07:58:47,20.0
161,okra,2,33,0,8,3,2,4,100,gm,2b1a30bd-b223-44ca-b56f-f5cf2be87cb2,,2022-04-22 11:55:29,2022-04-22 11:55:29,0.0
